month,local_hour,valid_qh,DA_avg_abs_mw,IDA_avg_abs_mw,aFRR_up_avg_mw,aFRR_down_avg_mw
2025-03,14,124,70.17647149781025,75.23639215803945,90.3225806451613,70.30645161290316
2025-03,15,124,67.74193548387099,70.18484451809995,90.3225806451613,81.51612903225806
2025-03,16,124,58.064516129032256,59.88938112575334,90.3225806451613,83.01612903225806
2025-03,17,124,58.064516129032256,64.81153118474894,90.3225806451613,86.45967741935483
2025-03,18,124,67.74193548387096,71.2729017741465,90.3225806451613,85.97580645161283
2025-03,19,124,61.29032258064516,59.195429683776425,56.82258064516129,89.51612903225806
2025-03,20,124,64.51612903225806,52.76568194809407,60.5967741935484,90.3225806451613
2025-03,21,124,73.7741935483871,73.87597537467713,69.20161290322572,89.51612903225806
2025-03,22,120,56.666666666666664,58.10751277379979,83.275,90.0
2025-03,23,120,66.66666666666667,68.21666666666667,93.175,91.625
2025-04,0,108,55.55555555555556,59.95218220818205,87.07407407407408,82.62037037037037
2025-04,1,108,44.44444444444444,51.607693795279,87.41666666666667,83.19444444444444
2025-04,2,108,59.25925925925926,65.23058701512556,88.88888888888889,82.91666666666667
2025-04,3,108,59.25925925925926,65.53055344545953,88.88888888888889,85.13888888888889
2025-04,4,108,55.55555555555556,62.34222856974681,88.88888888888889,83.95370370370371
2025-04,5,108,55.55555555555556,58.95695942496977,88.25925925925925,86.11111111111111
2025-04,6,108,48.148148148148145,49.88475536123302,86.79629629629629,88.76851851851852
2025-04,7,104,74.34615384615383,72.04807692307693,74.29807692307692,91.34615384615384
2025-04,8,104,62.69230769230775,62.815223847763264,84.5576923076923,87.29807692307692
2025-04,9,104,53.84615384615385,55.58495839124162,83.75,86.48076923076923
2025-04,10,104,65.38461538461539,66.88056122283082,84.07692307692308,81.73076923076923
2025-04,11,96,54.166666666666664,49.70390704484779,87.5,76.32291666666667
2025-04,12,92,60.869565217391305,62.807778755704504,86.95652173913044,71.83695652173913
2025-04,13,100,60.0,62.36989210661616,80.0,67.76
2025-04,14,96,66.66666666666667,66.854543163201,83.33333333333333,72.375
2025-04,15,96,75.0,75.94881670378861,83.33333333333333,67.91666666666667
2025-04,16,96,61.083333333333336,73.75554715525169,79.16666666666667,60.791666666666664
2025-04,17,100,52.0,68.93632753226649,76.0,68.31
2025-04,18,100,55.76184752853113,67.271357218787,76.0,70.04
2025-04,19,100,52.0,63.0026099986353,74.68,73.34
2025-04,20,100,60.0,65.734,61.84,74.25
2025-04,21,100,48.0,67.9519741797566,38.56,76.0
2025-04,22,100,48.0,55.75698533448977,56.100000000000016,76.0
2025-04,23,100,60.0,66.20066406024111,70.91000000000001,73.0
2025-05,0,96,72.58333333333333,74.49915707571174,86.16666666666667,89.20833333333333
2025-05,1,96,79.16666666666667,84.47916666666667,89.71875,89.61458333333333
2025-05,2,96,53.833333333333336,57.067979578501,90.625,86.5
2025-05,3,96,58.333333333333336,62.5,90.625,87.5
2025-05,4,96,50.00000000000001,51.041666666666664,90.625,90.625
2025-05,5,96,54.166666666666664,55.42708333333332,85.92708333333333,88.54166666666667
2025-05,6,96,72.55404031658964,73.87803023744222,83.97916666666667,88.4375
2025-05,7,96,62.5,67.27937967017387,80.63541666666667,91.66666666666667
2025-05,8,92,56.52173913043478,66.21950369818317,75.67391304347827,84.8586956521739
2025-05,9,92,65.65217391304348,68.6295652173913,83.40217391304348,87.81521739130434
2025-05,10,92,45.391304347826086,44.94574901810764,80.78260869565217,85.30434782608695
2025-05,11,96,45.833333333333336,46.6274763029324,79.67708333333333,61.635416666666664
2025-05,12,100,64.0,67.99928919941196,79.0,72.0
2025-05,13,96,62.5,77.99666123456332,70.83333333333333,74.46875
2025-05,14,100,60.0,74.16906673205962,72.19,72.32
2025-05,15,100,48.0,64.10304712436364,66.0,74.74
2025-05,16,96,62.5,75.64329717038878,76.79166666666667,63.229166666666664
2025-05,17,96,58.333333333333336,71.08334355809494,84.375,65.34375
2025-05,18,100,64.0,73.51171319036598,75.24000000000001,67.32
2025-05,19,100,76.0,83.01034457890344,77.57,76.0
2025-05,20,100,72.0,74.67542771764252,76.74,78.8
2025-05,21,100,60.0,60.53138924221978,47.08,83.0
2025-05,22,100,56.00314928967161,65.20184018235513,40.59,83.0
2025-05,23,100,72.0,74.19323384738519,70.69,83.94
2025-06,0,116,75.55172413793103,77.84430836929117,93.19827586206897,90.91379310344827
2025-06,1,116,70.62068965517241,71.11206896551722,93.50862068965517,92.15517241379311
2025-06,2,116,75.86206896551724,82.91232504999475,96.55172413793103,89.5
2025-06,3,116,89.65517241379311,99.96387719613685,96.55172413793103,86.24137931034483
2025-06,4,116,79.3103448275862,79.01724137931035,94.82758620689656,91.58620689655173
2025-06,5,116,79.3103448275862,80.80957527853438,96.55172413793103,95.05172413793103
2025-06,6,116,76.06170673387507,73.60208669780128,90.16379310344823,94.87931034482759
2025-06,7,116,75.86206896551724,80.95740239622108,91.29310344827586,96.37068965517241
2025-06,8,116,62.06896551724138,65.70882662892173,93.35344827586204,91.86206896551724
2025-06,9,116,82.75862068965517,81.33801279576952,94.06896551724144,87.84482758620689
2025-06,10,116,63.03448275862072,69.01417816655996,92.9396551724138,80.5603448275862
2025-06,11,116,75.85732157486376,63.84821387668866,94.75862068965517,71.75862068965517
2025-06,12,116,82.75862068965517,76.3865179679486,89.64655172413794,84.1896551724138
2025-06,13,116,86.20689655172414,77.26507812628506,93.96551724137932,80.72413793103448
2025-06,14,116,82.75862068965517,73.63953458217186,95.6896551724138,70.18103448275865
2025-06,15,116,79.3103448275862,62.301665283811296,90.51724137931035,60.293103448275865
2025-06,16,116,82.75862068965517,66.33924235916595,95.6896551724138,66.12068965517238
2025-06,17,116,79.3103448275862,78.37970636091647,94.80172413793103,86.03448275862068
2025-06,18,116,86.20689655172414,84.42710384937342,95.24137931034483,84.47413793103448
2025-06,19,116,82.75862068965517,83.15142484215599,91.90517241379308,92.7758620689655
2025-06,20,116,68.96551724137932,72.68154745230362,92.47413793103448,93.05172413793103
2025-06,21,116,68.96551724137932,64.12243927021512,30.31896551724138,96.55172413793103
2025-06,22,116,75.86206896551724,75.44760882634739,39.758620689655174,96.55172413793103
2025-06,23,116,75.86206896551724,77.39887371172571,77.54310344827586,95.6896551724138
2025-07,0,104,50.0,45.15384615384615,76.29807692307692,77.10576923076923
2025-07,1,104,46.15384615384615,47.831734299497924,80.6826923076923,78.36538461538461
2025-07,2,104,50.0,53.70475861567544,80.3173076923077,76.96153846153847
2025-07,3,104,46.15384615384615,46.17307692307692,80.76923076923077,76.9423076923077
2025-07,4,104,50.0,51.92307692307692,80.76923076923077,78.84615384615384
2025-07,5,104,53.84615384615385,53.40903870027463,80.3076923076923,80.74038461538461
2025-07,6,104,48.34615384615385,46.74034127042801,77.96153846153847,80.76923076923077
2025-07,7,104,57.69230769230769,59.35646701153728,80.25961538461539,80.76923076923077
2025-07,8,104,61.53846153846154,60.86693036513542,78.58653846153847,77.1923076923077
2025-07,9,100,47.72,52.75369177701503,77.44,77.9
2025-07,10,100,72.0,68.63957673257491,77.28,70.02
2025-07,11,100,44.0,48.164574622861956,80.0,71.93
2025-07,12,100,72.0,75.00811896624762,78.21,72.03
2025-07,13,100,60.0,64.63920000000002,80.0,70.64
2025-07,14,100,60.0,61.93118065838571,80.0,66.74
2025-07,15,100,72.0,68.12780197788254,80.0,68.47
2025-07,16,100,64.0,63.856173264422786,80.0,62.7
2025-07,17,100,68.0,74.3379821831614,80.0,66.72
2025-07,18,104,62.30769230769231,79.21453809701615,75.96153846153847,65.81730769230771
2025-07,19,104,61.54598253507622,72.85888849767481,76.48076923076931,72.29807692307692
2025-07,20,104,61.53846153846154,73.97393516936266,75.3173076923077,73.5
2025-07,21,104,65.38461538461539,59.8044266615102,31.259615384615383,76.92307692307692
2025-07,22,104,76.92307692307692,46.725824298056565,24.701923076923077,76.92307692307692
2025-07,23,104,65.38461538461539,61.86064899269783,54.06730769230769,76.92307692307692
2025-08,0,120,86.66666666666667,84.72204300971455,93.29166666666667,95.73333333333333
2025-08,1,120,83.33333333333333,84.12147176946367,95.96666666666667,95.64166666666667
2025-08,2,120,67.53333333333335,66.66819418959243,96.05833333333334,94.11666666666666
2025-08,3,120,76.66666666666667,77.22218309171267,96.51666666666667,94.45833333333333
2025-08,4,116,66.79310344827587,64.6813339623918,95.36206896551724,93.02586206896552
2025-08,5,116,65.51724137931035,64.82733860631954,96.35344827586206,94.95689655172414
2025-08,6,120,80.0,76.14151059678065,85.79166666666667,92.5
2025-08,7,120,66.66666666666667,66.64728688575619,89.38333333333334,93.33333333333333
2025-08,8,120,60.4,60.035507714988476,89.96666666666667,92.16666666666667
2025-08,9,120,58.233333333333334,58.572899933475824,92.75833333333334,89.11666666666666
2025-08,10,120,70.0,69.48264491893858,90.425,87.33333333333333
2025-08,11,120,76.66666666666673,68.31976485894698,93.33333333333333,74.89166666666665
2025-08,12,120,80.0,67.66719132759029,93.33333333333333,70.16666666666667
2025-08,13,120,86.66666666666667,84.91461776814549,93.33333333333333,67.14166666666667
2025-08,14,120,86.66666666666667,93.29322402294343,93.33333333333333,60.041666666666664
2025-08,15,120,93.33333333333333,72.96882559770442,91.66666666666667,58.94166666666667
2025-08,16,120,90.0,94.4006465218788,93.13333333333334,75.45833333333333
2025-08,17,120,75.13725146788165,84.34235724198865,92.5,80.66666666666669
2025-08,18,120,80.0,81.02991386562056,93.19166666666666,86.375
2025-08,19,120,80.0,82.66608404021866,90.475,88.65
2025-08,20,120,66.66666666666667,70.4454411785204,88.85833333333333,92.75833333333334
2025-08,21,120,73.33333333333333,67.75325693386706,38.40833333333333,93.33333333333333
2025-08,22,120,76.66666666666667,63.882108804098735,40.74166666666667,93.33333333333333
2025-08,23,120,76.66666666666667,66.5393487314078,68.14166666666667,93.33333333333333
2025-09,0,120,70.0,70.29273851340223,97.9,99.625
2025-09,1,120,66.66666666666667,69.69880961817984,97.36666666666666,97.925
2025-09,2,120,90.0,90.86557831503306,99.13333333333334,96.66666666666667
2025-09,3,120,73.33333333333333,72.89088158193866,99.55833333333334,97.11666666666666
2025-09,4,120,63.333333333333336,63.792446009331385,99.625,99.16666666666667
2025-09,5,120,60.0,58.09166666666667,93.45833333333333,99.28333333333333
2025-09,6,120,71.6588087653479,72.49233611305775,91.73333333333333,100.0
2025-09,7,120,70.23333333333333,71.25423275203275,92.2,100.0
2025-09,8,120,63.333333333333336,65.1444240053622,97.29166666666667,100.0
2025-09,9,120,64.8,66.05023939078399,96.58333333333333,98.55
2025-09,10,120,69.17977884948225,69.44079938863496,95.8,95.5
2025-09,11,116,82.75862068965517,70.71496015220042,98.59482758620689,86.54310344827586
2025-09,12,120,76.66666666666667,77.19426217673114,95.83333333333333,84.68333333333334
2025-09,13,116,79.3103448275862,66.56239112466152,96.36206896551724,69.92241379310344
2025-09,14,116,89.65517241379311,64.92880338926962,96.55172413793103,63.10344827586207
